name,poi_class,display_category,lon,lat,ring_mi
,,Doctor,-81.63576392983902,30.147045898203803,5
,,Uncategorized,-81.63436786476096,30.14789137325408,5
,,Professional Service,-81.63451714,30.146877049999997,5
,,Discount Store,-81.63415396571992,30.14776286734768,5
,,Department Store,-81.6342863,30.148436299999986,5
,,Second Hand Store,-81.63427026080092,30.148424582092655,5
,,Personal Or Beauty Service,-81.63427026080092,30.148424582092655,5
,,Personal Or Beauty Service,-81.63412665,30.148438429999995,5
,,Casual Eatery,-81.63410914303772,30.14834710109726,5
,,Department Store,-81.6339179,30.148532300000003,5
,,Food And Beverage Store,-81.6339179,30.148532300000003,5
,,Second Hand Store,-81.6339,30.1485,5
,,Arts Crafts And Hobby Store,-81.633854,30.148536999999997,5
,,Casual Eatery,-81.633854,30.148536999999997,5
,,Coffee Shop,-81.633854,30.148536999999997,5
,,Arts Crafts And Hobby Store,-81.63385,30.14855,5
,,Restaurant,-81.63400814,30.14762586,5
,,Technical Service,-81.63326618,30.14778679,5
,,Electronics Store,-81.63314729649936,30.147651550374135,5
,,Family Service,-81.63330100000002,30.147329,5
,,Financial Service,-81.632777,30.146527999999993,5
,,Real Estate Service,-81.63268983,30.1468829,5
,,Bank Or Credit Union,-81.6330435,30.14703664000001,5
,,Bank Or Credit Union,-81.63311399102814,30.146913247394288,5
,,Electronics Store,-81.633061,30.147685000000003,5
,,Electronics Store,-81.633059031625,30.147660500875002,5
,,Books Music And Video Store,-81.6325074,30.1475009,5
,,Atm,-81.6325074,30.1475009,5
,,Convenience Store,-81.63233158,30.1474749,5
,,Gas Station,-81.632138,30.14832,5
,,Atm,-81.63214111328125,30.14831924438475,5
,,Atm,-81.63214111328125,30.14831924438475,5
,,Casual Eatery,-81.63202738070214,30.147509056278444,5
,,Restaurant,-81.63206328,30.14680458,5
,,Automotive Service,-81.63025,30.14706,5
,,Home Service,-81.63091,30.14669,5
,,Convenience Store,-81.631865,30.148249999999997,5
,,Library,-81.63188434348383,30.149946860088196,5
,,Reproductive Perinatal And Womens Care,-81.63186014,30.15343875,5
,,Vision Or Eye Care Clinic,-81.6316375732422,30.1532192230225,5
,,Doctor,-81.63166201783675,30.153274674519544,5
,,Outpatient Care Facility,-81.631662,30.153275,5
,,Uncategorized,-81.6276808,30.154735599999995,5
,,Animal Or Pet Service,-81.62778826563941,30.158704114026857,5
,,Religious Organization,-81.63183836977825,30.153892643627593,5
,,Vision Or Eye Care Clinic,-81.6319430638237,30.154170084703193,5
,,Vision Or Eye Care Clinic,-81.6318924,30.154235299999996,5
,,Vision Or Eye Care Clinic,-81.6318924,30.154235299999996,5
,,Vision Or Eye Care Clinic,-81.6318924,30.154235299999996,5
